brand_name,brand_slug,product_name,fragrantica_url,rating_value,rating_count,gender,notes,accords,discovery_source
Xerjoff,xerjoff,Golden Dallah Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Golden-Dallah-51728.html,4.16,943,,"exotic spices, incense, coffee, cambodian oud, amber, rose, cacao, hazelnut, tonka bean","warm spicy, amber, woody, coffee, cacao, smoky, nutty, animalic",fragrantica_catalog
Xerjoff,xerjoff,Comandante Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Comandante-16448.html,4.11,917,,,"sweet, floral, fruity, woody, tobacco, honey, vanilla, warm spicy, leather, patchouli",fragrantica_catalog
Xerjoff,xerjoff,Accento Overdose Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Accento-Overdose-56097.html,3.99,911,,"fruity notes, green accord, aldehydes, egyptian jasmine, lily-of-the-valley, bulgarian rose, eucalyptus, pine","white floral, green, fruity, fresh, woody, aldehydic, rose, sweet, aromatic, floral",fragrantica_catalog
Xerjoff,xerjoff,Mefisto Gentiluomo Xerjofffor men,https://www.fragrantica.com/perfume/Xerjoff/Mefisto-Gentiluomo-52432.html,4.3,877,,"lavender, grapefruit, bergamot, lemon, violet, iris, rose, musk, cedar, amber","citrus, powdery, violet, lavender, aromatic, fresh spicy, woody, iris, musky, floral",fragrantica_catalog
Xerjoff,xerjoff,Erba Gold Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Erba-Gold-76683.html,4.31,861,,"brazilian orange, sicilian lemon, calabrian bergamot, ginger, melon, pear, green apple, cinnamon, guatemalan cardamom, cloves, white musk, amber, madagascar vanilla, woody notes","citrus, fruity, warm spicy, fresh, sweet, aquatic, musky, powdery, vanilla, amber",fragrantica_catalog
Xerjoff,xerjoff,Pikovaya Dama 2018 Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Pikovaya-Dama-2018-49504.html,4.3,805,,"aldehydes, neroli, bergamot, rose, lemon, iris, incense, coriander, cedar, nutmeg, musk, vanilla, sandalwood, patchouli","powdery, aldehydic, citrus, woody, fresh, iris, aromatic, musky, fresh spicy, earthy",fragrantica_catalog
Xerjoff,xerjoff,Torino22 Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Torino22-77059.html,4.31,801,,"eucalyptus, saffron, bergamot, mate, clary sage, guaiac wood, dry wood, musk","woody, aromatic, warm spicy, camphor, fresh spicy, citrus, metallic, leather",fragrantica_catalog
Xerjoff,xerjoff,Mamluk Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Mamluk-14804.html,4.1,781,,,"honey, sweet, amber, floral, caramel, oud, vanilla, white floral, powdery, musky",fragrantica_catalog
Xerjoff,xerjoff,Ouverture Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Ouverture-55164.html,4.16,774,,"fig leaf, orange, magnolia, cinnamon, ylang-ylang, indian jasmine, bulgarian rose, sandalwood, vanilla, amber, cashmere wood, incense","woody, amber, warm spicy, green, citrus, sweet, vanilla, powdery, balsamic, fresh",fragrantica_catalog
Xerjoff,xerjoff,Opera Xerjofffor women and men,https://www.fragrantica.com/perfume/Xerjoff/Opera-55162.html,4.05,751,,"fruits, turkish rose, ylang-ylang, nutmeg, leather, amber, vanilla, patchouli, musk, virginia cedar, haitian vetiver","woody, sweet, yellow floral, fruity, fresh spicy, powdery, leather, vanilla, amber, patchouli",fragrantica_catalog
